rush_yd,rush_td,rush_fd,rush_att,rush_2pt,pts_std,pts_ppr,pts_half_ppr,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,gp,fum_lost,cmp_pct,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,player_id,first_name,last_name,injury_status
351.0,3.0,35.1,70.0,,371.26,371.26,371.26,4704.0,36.0,12.0,470.4,388.0,590.0,2.0,18.0,3.0,65.76,14.6,999.0,13.6,1.4,14.8,5.8,5.6,5.2,1.8,999.0,1.1,4046,Patrick,Mahomes,
640.0,6.0,64.0,116.0,1.0,362.76,362.76,362.76,3994.0,30.0,13.0,399.4,352.0,562.0,1.0,18.0,4.0,62.63,22.4,999.0,22.7,3.1,22.5,10.7,8.4,10.6,2.1,999.0,2.3,4984,Josh,Allen,
731.0,9.0,73.1,148.0,1.0,353.42,353.42,353.42,3633.0,23.0,9.0,363.3,299.0,467.0,1.0,18.0,3.0,64.03,24.0,999.0,24.0,5.7,24.0,13.6,11.5,13.2,3.6,999.0,3.5,6904,Jalen,Hurts,
969.0,5.0,96.9,160.0,1.0,346.7,346.7,346.7,3670.0,22.0,11.0,367.0,311.0,486.0,1.0,18.0,4.0,63.99,34.5,999.0,35.3,8.3,34.1,36.8,32.0,35.6,8.0,999.0,6.9,4881,Lamar,Jackson,
935.0,7.0,93.5,162.0,1.0,339.66,339.66,339.66,3479.0,21.0,13.0,347.9,290.0,476.0,1.0,18.0,5.0,60.92,44.3,999.0,45.0,16.3,44.7,42.3,41.2,42.2,10.3,999.0,11.1,7591,Justin,Fields,
226.0,3.0,22.6,45.0,,334.72,334.72,334.72,4428.0,33.0,13.0,442.8,388.0,583.0,2.0,18.0,3.0,66.55,35.9,999.0,34.6,6.0,35.0,20.2,21.1,20.3,4.7,999.0,5.7,6770,Joe,Burrow,Questionable
171.0,2.0,17.1,52.0,,317.26,317.26,317.26,4504.0,31.0,12.0,450.4,412.0,614.0,2.0,18.0,4.0,67.1,46.6,999.0,47.3,12.9,46.5,31.6,31.8,32.4,6.2,999.0,7.0,6797,Justin,Herbert,
433.0,4.0,43.3,82.0,1.0,310.18,310.18,310.18,3797.0,26.0,11.0,379.7,356.0,533.0,1.0,18.0,3.0,66.79,86.4,999.0,87.4,42.4,86.4,91.0,87.8,91.1,22.5,999.0,21.6,4017,Deshaun,Watson,
272.0,3.0,27.2,60.0,,308.84,308.84,308.84,4166.0,29.0,13.0,416.6,370.0,588.0,1.0,18.0,4.0,62.93,58.7,999.0,55.7,20.6,58.4,44.7,44.9,44.3,9.0,999.0,12.1,7523,Trevor,Lawrence,
255.0,3.0,25.5,63.0,,299.42,299.42,299.42,3998.0,28.0,12.0,399.8,366.0,544.0,1.0,18.0,3.0,67.28,87.4,999.0,86.5,48.6,88.5,104.0,101.1,104.5,30.6,999.0,26.9,3294,Dak,Prescott,
113.0,2.0,11.3,44.0,,296.02,296.02,296.02,4193.0,30.0,11.0,419.3,349.0,526.0,1.0,18.0,3.0,66.35,94.2,999.0,89.1,51.1,94.2,95.8,91.9,96.2,35.7,999.0,30.2,6768,Tua,Tagovailoa,
