gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
 00-0035057,887183,,21427,,,,,Ellis,26,Richardson,TRUE,,32262,,Active,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,,6462,['TE'],,9999999,,14134,Ellis Richardson,TE,3926590,
,,,,1052592,,,,Nick,,Amoah,TRUE,,,,Active,55510c00-ead2-11ed-999e-03b49558b5db,,11255,['OL'],,9999999,,,Nick Amoah,OL,,
,,,,1131137,,,,Malkelm,,Morrison,TRUE,,,,Injured Reserve,3c804b10-d3a8-11ec-96a0-c3471a31202c,,8842,['DB'],,9999999,,16558,Malkelm Morrison,CB,,
,,,,866047,,,,Carl,24,Tucker,TRUE,,,,Active,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,,7926,['TE'],,426,,15412,Carl Tucker,TE,,
00-0031296,,,16093,557173,,,,C.J.,32,Mosley,TRUE,NYJ,27545,MLB,Active,bf5f7564-349a-439a-a8a9-4ddb10448a8d,,1875,['LB'],9631,216,97CDFFA7FA4D,9380,C.J. Mosley,LB,16720,1
,,,,1085180,,,,Samuel,25,Womack,TRUE,IND,,LCB,Active,75c1ed8d-4f05-43c1-b398-f212984b6b8b,,8478,['DB'],,9999999,0823DA35726D,16274,Samuel Womack,CB,,2
00-0028445,512802,,13476,,,,,Ron,34,Parker,FALSE,,25090,,Injured Reserve,e9a0297a-0b34-4c55-af1f-ca113d672195,,995,['DB'],6811,9999999,,7817,Ron Parker,FS,14297,
00-0030496,543654,,14967,543654,,,,Le'Veon,29,Bell,TRUE,TB,26671,,Active,7735c02a-ee75-447c-86e6-6c2168500050,,1408,['RB'],8390,235,,8617,Le'Veon Bell,RB,15825,
,,,,,,,,Matt,24,Seybert,TRUE,,,,Active,22ec09a7-6001-43b7-adf9-cf0df941ad0e,,8074,['TE'],,,,15785,Matt Seybert,TE,,
00-0025557,229499,,4122,,,,,William,35,Gay,FALSE,,8424,,Inactive,a2907a39-139b-483f-8369-e278c26a6951,,156,['DB'],4319,9999999,,6211,William Gay,CB,10613,
,,,22303,881687,,,,Javin,27,White,TRUE,,33318,,Active,3f95afdc-2140-424b-8250-7d4e273c2efc,,7311,"['DB', 'LB']",,9999999,8ADDCA292DD5,14902,Javin White,LB,3921709,
 00-0031052,560235,,16407,560235,,,,Bashaud,30,Breeland,TRUE,ARI,27630,,Active,ba905b34-8412-4553-9055-3460368cc608,,2091,['DB'],9585,9999999,,9648,Bashaud Breeland,CB,16890,
,,,,1454349,,,,Brandon,29,Aubrey,TRUE,DAL,,K,Active,110e6fe0-1c34-11ee-8294-af17faac15de,,11533,['K'],,139,872D94B3727D,17649,Brandon Aubrey,K,,1
,,,16967,,,,,Amarlo,28,Herrera,FALSE,,28595,,Inactive,faf5f854-73af-4ab9-8f19-95ea75431d45,,2508,['LB'],,9999999,,10372,Amarlo Herrera,LB,2578542,
00-0031255,498200,,16570,,,,,Kasim,32,Edebali,TRUE,,27923,,Inactive,25a958c9-4035-43ad-8c9c-1309ea592e66,,2199,"['DL', 'LB']",,9999999,,9378,Kasim Edebali,DE,17141,
,542556,,17349,,,,,Tyler,26,Slavin,FALSE,,29002,,Inactive,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,,2881,['WR'],,9999999,,10861,Tyler Slavin,WR,2516911,
00-0031411,,,16366,651780,,,,DeMarcus,32,Lawrence,TRUE,DAL,27562,LDE,Active,3e3bd10a-6462-47f8-8938-42518781d060,,2064,['DL'],9633,547,4306CF8AB318,9344,DeMarcus Lawrence,DE,16802,1
,468901,,14731,,,,,Lance,30,Dunbar,FALSE,,26064,,Inactive,9f0f0495-b5b8-45c2-866b-02d9f96087f7,,1284,['RB'],7798,9999999,,8086,Lance Dunbar,RB,15369,
00-0031511,557177,,17269,,,Undisclosed,,DeAndrew,30,White,TRUE,,28800,,Inactive,e0abf267-f265-4682-9bb7-72bbcefda451,,2801,['WR'],,9999999,,10243,DeAndrew White,WR,2515962,
00-0033501,,,19373,835146,,,,Devaroe,29,Lawrence,TRUE,,30412,,Active,87c4b182-e4bc-4f35-97ec-8537a2665875,,4501,['DL'],,1257,,12173,Devaroe Lawrence,DT,3121581,
 00-0035684,,,21020,880521,,,,DeAndre,24,Baker,TRUE,,31862,,Active,02d1b3c3-f292-4174-89fa-9ecc6286adb0,,5852,['DB'],,9999999,,13475,DeAndre Baker,CB,3915163,
,460898,,13881,,,,,Taylor,27,Thompson,FALSE,,,,Inactive,c2c65162-07df-48fb-93ce-86f340afb688,,1073,['TE'],,9999999,,,Taylor Thompson,TE,15067,
00-0032942,691066,,18135,691066,,,,Kevon,30,Seymour,TRUE,,29452,,Inactive,e431a42b-5abe-49de-9c8c-f143f393591c,,3374,['DB'],,663,0B131E4B26AA,11170,Kevon Seymour,CB,2971603,
,,,,1067387,,,,Corey,23,Straughter,TRUE,,,,Active,a01a9064-c0c3-4f3e-8753-89f5859879f9,,8012,['DB'],,,,15702,Corey Straughter,CB,,
,,,,920059,,,,A.J.,24,Rose,TRUE,,,,Active,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,,7918,['RB'],,311,,15350,A.J. Rose,RB,,
,,,12610,,,,,Erik,38,Pears,FALSE,,7588,,Inactive,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,,777,['OL'],,9999999,,7124,Erik Pears,T,9399,
,748570,,20526,,,,,Ricky,28,Jeune,TRUE,,31388,,Active,e5395ca3-47d0-403b-84f5-41bfeba78e67,,5428,['WR'],,9999999,,13096,Ricky Jeune,WR,3055908,
00-0031259,542873,,16249,,,,,Aaron,30,Colvin,TRUE,,27642,,Active,76c630cf-0fd3-4210-a73d-9347da9d9d66,,1982,['DB'],9348,9999999,,9337,Aaron Colvin,CB,16900,
,,,,,,,,Marquis,,Wilson,TRUE,,,,Active,07923890-0e3a-11ef-9a4a-c565d3259077,,12376,['DB'],,9999999,,,Marquis Wilson,DB,,
,,,,943834,,,,Christian,23,Uphoff,TRUE,,,,Active,2b02fad4-574c-4a40-ab7d-43aca2142b66,,7882,['DB'],,,,15476,Christian Uphoff,DB,,
,,,,1058624,,,,Jacob,25,Hummel,TRUE,LAR,,RILB,Active,0c7ceb00-d207-11ec-ab20-b37737d70cc4,,8733,['LB'],,9999999,6592B272CCBB,16270,Jacob Hummel,LB,,2
