,Projections,gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
0,0.0, 00-0035057,887183.0,,21427.0,,,,,Ellis,26.0,Richardson,True,,32262.0,,Active,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,,6462,['TE'],,9999999.0,,14134.0,Ellis Richardson,TE,3926590.0,
1,0.0,,,,,1052592.0,,,,Nick,,Amoah,True,,,,Active,55510c00-ead2-11ed-999e-03b49558b5db,,11255,['OL'],,9999999.0,,,Nick Amoah,OL,,
2,0.0,,,,,1131137.0,,,,Malkelm,,Morrison,True,,,,Injured Reserve,3c804b10-d3a8-11ec-96a0-c3471a31202c,,8842,['DB'],,9999999.0,,16558.0,Malkelm Morrison,CB,,
3,374.0,,,,,866047.0,,,,Carl,24.0,Tucker,True,,,,Active,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,,7926,['TE'],,426.0,,15412.0,Carl Tucker,TE,,
4,25.0,00-0031296,,,16093.0,557173.0,,,,C.J.,32.0,Mosley,True,NYJ,27545.0,MLB,Active,bf5f7564-349a-439a-a8a9-4ddb10448a8d,,1875,['LB'],9631.0,216.0,97CDFFA7FA4D,9380.0,C.J. Mosley,LB,16720.0,1.0
5,0.0,,,,,1085180.0,,,,Samuel,25.0,Womack,True,IND,,LCB,Active,75c1ed8d-4f05-43c1-b398-f212984b6b8b,,8478,['DB'],,9999999.0,0823DA35726D,16274.0,Samuel Womack,CB,,2.0
6,0.0,00-0028445,512802.0,,13476.0,,,,,Ron,34.0,Parker,False,,25090.0,,Injured Reserve,e9a0297a-0b34-4c55-af1f-ca113d672195,,995,['DB'],6811.0,9999999.0,,7817.0,Ron Parker,FS,14297.0,
7,0.0,00-0030496,543654.0,,14967.0,543654.0,,,,Le'Veon,29.0,Bell,True,TB,26671.0,,Active,7735c02a-ee75-447c-86e6-6c2168500050,,1408,['RB'],8390.0,235.0,,8617.0,Le'Veon Bell,RB,15825.0,
8,0.0,,,,,,,,,Matt,24.0,Seybert,True,,,,Active,22ec09a7-6001-43b7-adf9-cf0df941ad0e,,8074,['TE'],,,,15785.0,Matt Seybert,TE,,
9,0.0,00-0025557,229499.0,,4122.0,,,,,William,35.0,Gay,False,,8424.0,,Inactive,a2907a39-139b-483f-8369-e278c26a6951,,156,['DB'],4319.0,9999999.0,,6211.0,William Gay,CB,10613.0,
10,0.0,,,,22303.0,881687.0,,,,Javin,27.0,White,True,,33318.0,,Active,3f95afdc-2140-424b-8250-7d4e273c2efc,,7311,"['DB', 'LB']",,9999999.0,8ADDCA292DD5,14902.0,Javin White,LB,3921709.0,
11,99.0, 00-0031052,560235.0,,16407.0,560235.0,,,,Bashaud,30.0,Breeland,True,ARI,27630.0,,Active,ba905b34-8412-4553-9055-3460368cc608,,2091,['DB'],9585.0,9999999.0,,9648.0,Bashaud Breeland,CB,16890.0,
12,0.0,,,,,1454349.0,,,,Brandon,29.0,Aubrey,True,DAL,,K,Active,110e6fe0-1c34-11ee-8294-af17faac15de,,11533,['K'],,139.0,872D94B3727D,17649.0,Brandon Aubrey,K,,1.0
