,Projections_2024,Projections_2022,Stats_2022,stats_id,Stats_2023,Cost_2023,Cost_2022,Bought_By_2023,Bought_By_2022,VORP_2024_med,VORP_2024_mean,VALUE,fantasy_data_id,Projections_2023,active,team,status,player_id,fantasy_positions,full_name,position,depth_chart_order
4,374.0,382.0,436.0,,403.0,0,0,,,0,0,0,16093.0,441.0,True,NYJ,Active,1875,['LB'],C.J. Mosley,LB,1.0
5,25.0,91.0,50.0,,9.0,0,0,,,0,0,0,,0.0,True,IND,Active,8478,['DB'],Samuel Womack,CB,2.0
12,99.0,0.0,0.0,,176.0,0,0,,,0,0,0,,89.0,True,DAL,Active,11533,['K'],Brandon Aubrey,K,1.0
16,163.0,156.0,238.0,,169.0,0,0,,,0,0,0,16366.0,182.0,True,DAL,Active,2064,['DL'],DeMarcus Lawrence,DE,1.0
30,55.0,0.0,0.0,,15.0,0,0,,,0,0,0,,0.0,True,LAR,Active,8733,['LB'],Jacob Hummel,LB,2.0
35,66.8,0.0,0.0,,31.200000000000003,0,0,,,0,0,0,,30.1,True,JAX,Active,9487,['WR'],Parker Washington,WR,4.0
36,184.0,74.0,105.0,,213.0,0,0,,,0,0,0,21931.0,194.0,True,CIN,Active,6923,['DB'],Geno Stone,DB,1.0
43,30.0,203.0,45.0,,30.0,0,0,,,0,0,0,18029.0,0.0,True,HOU,Active,3268,['DB'],Eric Murray,DB,2.0
44,287.0,238.0,321.0,,281.0,0,0,,,0,0,0,19310.0,194.0,True,BUF,Active,4449,['LB'],Nicholas Morrow,LB,2.0
46,11.7,28.9,18.8,,31.8,0,0,,,0,0,0,21843.0,52.1,True,,Active,6918,['RB'],Salvon Ahmed,RB,
54,232.5,190.60000000000002,232.9,,314.9,33,29,fartdoctor,Lorrinstone,0,0,0,21679.0,209.8,True,DAL,Active,6786,['WR'],CeeDee Lamb,WR,7.0
56,33.0,0.0,0.0,,31.0,0,0,,,0,0,0,,0.0,True,CAR,Active,10938,['LB'],DJ Johnson,LB,1.0
58,100.4,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,TB,Active,11584,['RB'],Bucky Irving,RB,2.0
65,118.7,148.5,154.2,,107.8,1,2,853047867152117760,Lorrinstone,0,0,0,21692.0,155.5,True,CLE,Active,6783,['WR'],Jerry Jeudy,WR,2.0
72,23.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,12213,['DB'],Anthony Sao,CB,
